Pegunungan	جِبَال	Ural	Ural	Ουράλια	ウラル山脈	烏拉爾山脈	None	Urais	None	None	Urales	เทือกเขายูรัล
madidihang	None	yellowfin	None	None	キハダ	黃鰭鮪	None	None	None	None	atún	None
balsem	بَلْسَم	balsam	palsami	βάλσαμο	バルサム	香脂	None	bálsamo	ба̀лзам	balzam	None	ยาหม่อง
bekas	مُسْتَعْمَل	secondhand	käytetty	μεταχειρισμένος	セコハン	第二手	używany	de	None	None	de	None
Arab	شِبْهُ	Arabia	Arabian	Αραβία	アラビア	阿拉伯	Półwysep	Arábia	А̀ра̄бија	Arabija	None	คาบสมุทรอาหรับ
bayaran	أَجْر	remuneration	maksu	None	None	報酬	zapłata	remuneração	None	None	remuneración	None
menara	None	ivory	norsunluutorni	None	象牙の塔	象牙塔	wieża	torre	None	slonokoščeni	torre	หอคอยงาช้าง
azan	أَذَان	adhan	rukouskutsu	None	アザーン	邦克	None	None	езан	None	llamada	None
Pantai	كُوت	Côte	Norsunluurannikko	Ακτή	コートジボワール	科特迪瓦	Wybrzeże	Costa	Обала	Slonokoščéna	Costa	โกตดิวัวร์
juru	مَأْمُور	bailiff	vouti	None	None	法警	komornik	oficial	None	None	alguacil	None
solat	صَلَاة	salat	rukoushetki	σαλάτ	サラート	薩拉特	None	salá	на̀ма̄з	None	None	ละหมาด
asap	None	smoked	savustettu	None	燻製の	熏制的	wędzony	defumado	dimljeni	None	ahumado	None
mengelas	لَحَمَ	weld	hitsata	οξυγονοκολλώ	溶接する	焊接	spawać	soldar	variti	None	None	บัดกรี
penolakan	إِنْكَار	refusal	kieltäytyminen	None	拒絶	拒絕	odmowa	recusa	одби́ја̄ње	zavrnitev	negativa	None
respirasi	None	respiration	soluhengitys	None	None	呼吸作用	None	None	None	None	None	None
sok	None	smartass	viisastelija	εξυπνάκιας	自惚れ屋	自作聰明的人	None	espertalhão	None	None	None	None
Madinah	الْمَدِينَة	Medina	None	Μεδίνα	マディーナ	麥地那	None	None	Медина	None	None	อัลมะดีนะฮ์
urbanisasi	تَمَدُّن	urbanization	kaupungistuminen	αστικοποίηση	None	城市化	urbanizacja	urbanização	урбаниза́ција	urbanizacija	urbanización	นคราภิวัตน์
APD	None	PPE	None	None	None	None	None	EPI	None	None	None	None
alas	غِطَاء	tablecloth	pöytäliina	τραπεζομάντηλο	テーブル掛け	桌布	obrus	toalha	сто̑лња̄к	prt	mantel	ผ้าปูโต๊ะ
surah	سُورَة	sura	suura	σουράτ	スーラ	蘇拉	None	surata	су̀ра	None	azora	None
penilai	None	underwriter	None	None	None	None	asekurant	None	None	None	asegurador	None
penjamin	None	underwriter	None	None	None	None	None	None	None	None	asegurador	None
detektif	مُحَقِّق	detective	etsivä	αστυνομικός	探偵	偵探	oficer	detetive	истражитељ	detektivka	inspector	นักสืบ
detektif	None	detective	yksityisetsivä	ερευνητής	探偵	私人偵探	detektyw	detetive	None	None	investigador	นักสืบ
dosen	مُحَاضِر	lecturer	luennoija	λέκτορας	None	講師	wykładowca	palestrante	None	None	docente	อาจารย์
dosen	None	lecturer	lehtori	επιμελητής	None	讲师	wykładowca	docente	None	None	None	อาจารย์
emisi	None	emission	päästö	None	None	排放	None	emissão	None	None	emisión	None
emisi	None	emission	liikkeeseenlasku	εκπομπή	None	放射	emisja	emissão	None	None	None	None
detoksifikasi	None	detoxification	myrkyn	None	None	None	detoks	None	None	None	desintoxicación	None
peluru	صَارُوخ	cruise	risteilyohjus	None	巡航ミサイル	巡航導彈	pocisk	míssil	крстарећа	manevrirni	misil	ขีปนาวุธร่อน
dasar	None	groundwork	perustus	None	None	基礎	None	fundamento	None	None	cimiento	None
usus	الْأَمْعَاء	small	ohutsuoli	λεπτό	None	小腸	jelito	intestino	None	None	None	ลำไส้เล็ก
kelembapan	رُطُوبَة	humidity	kosteus	υγρασία	湿気	濕度	wilgotność	umidade	вла̏жно̄ст	vlažnost	humedad	ความชื้น
kelembapan	رُطُوبَة	humidity	ilmankosteus	None	湿度	None	wilgotność	umidade	None	None	humedad	None
blastoderma	None	blastoderm	None	None	胚盤葉	胚盤	None	blastoderme	None	None	blastodermo	None
usus	صَائِم	jejunum	tyhjäsuoli	νήστις	None	空腸	jelito	jejuno	None	None	yeyuno	None
klasemen	None	league	sarjataulukko	None	None	None	None	None	None	None	clasificación	None
persentil	None	percentile	persentiili	None	None	None	None	percentil	None	None	None	None
persentil	None	percentile	persentiili	None	None	None	None	percentil	None	None	None	None
lobak	فُجْل	radish	retiisi	ραπάνι	大根	蘿蔔	rzodkiewka	rabanete	ро̏тква	redkev	rábano	ไชเท้า
tanggal	None	milestone	kilometripylväs	χιλιομετροδείκτης	マイルストーン	里程碑	kamień	marco	miljokaz	None	hito	None
menganiaya	اِضْطَهَدَ	persecute	vainota	παρενοχλώ	迫害する	迫害	prześladować	perseguir	прого̀нити	preganjati	None	ข่มเหง
drainase	تَصْرِيف	drainage	salaojaverkko	None	None	排水	None	drenagem	None	None	drenaje	None
nama	None	filename	tiedostonimi	όνομα	ファイル名	文件名	nazwa	nome	naziv	None	nombre	None
amir	أَمِير	emir	emiiri	εμίρης	アミール	埃米爾	None	None	None	None	None	None
kelayakan	صَلَاحِيَّة	airworthiness	None	None	耐空性	適航	zdatność	aeronavegabilidade	letna	None	aptitud	None
aliterasi	None	alliteration	alkusointu	παρήχηση	None	頭韻	aliteracja	aliteração	алитера́ција	None	aliteración	None
pengemplangan	تَهَرُّب	tax	veropetos	φοροδιαφυγή	脱税	逃稅	None	evasão	ева́зија	None	evasión	การหนีภาษี
pita	شَرْيِط	tape	mittanauha	μεζούρα	メジャー	捲尺	taśma	fita	метални	None	metro	สายวัด
selesma	None	rheum	räkä	None	None	眵	katar	remela	None	None	legaña	None
angkasawan	مُذِيع	broadcaster	lähettäjä	εκφωνητής	None	播報員	nadawca	None	None	None	None	ผู้ประกาศ
prostat	بْرُوسْتَات	prostate	eturauhanen	προστάτης	前立腺	前列腺	prostata	próstata	простата	obsečnica	glándula	None
penghindaran	None	tax	verosuunnittelu	φοροαποφυγή	None	避稅	None	evasão	None	None	elusión	None
kuret	مِجْرَفة	curette	kaavin	ξέστρο	None	None	None	cureta	None	None	None	None
rekonsiliasi	صُلْح	reconciliation	sopiminen	καταλλαγή	None	和解	pogodzenie	reconciliação	помире́ње	pobotanje	reconciliación	None
rekonsiliasi	None	reconciliation	täsmäyttäminen	συμφιλίωση	None	None	None	None	реконцилија́ција	None	None	None
gerilya	حَرْب	guerrilla	sissisota	αντάρτικο	遊撃	游擊	partyzantka	guerrilha	герилски	gverilsko	guerra	สงครามกองโจร
astrolog	مُنَجِّم	astrologer	astrologi	αστρολόγος	占星術師	占星家	None	astrólogo	None	None	astróloga	None
jm	None	hr	None	None	None	None	None	None	None	None	None	None
marsepen	مَرْصَبَان	marzipan	marsipaani	αμυγδαλόπαστα	マルチパン	杏仁蛋白糖	marcepan	marzipã	марцѝпа̄н	marcipan	mazapán	None
suaka	مَلَاذ	tax	veroparatiisi	φορολογικός	タックス・ヘイヴン	避稅港	raj	paraíso	порески	davčna	None	None
literasi	None	literacy	luku-	αλφαβητισμός	None	認字	piśmienność	alfabetização	писменост	None	None	การรู้หนังสือ
literasi	None	literacy	lukutaito	γνώση	None	能力	None	None	писменост	None	cultura	None
anehnya	None	strangely	None	None	None	None	dziwnie	estranhamente	None	None	extrañamente	None
sindikat	None	syndicate	syndikaatti	None	シンジケート	辛迪加	syndykat	None	None	None	None	None
testosteron	تِسْتُوسْتِيرُون	testosterone	testosteroni	None	テストステロン	睾酮	-steron	testosterona	тестостѐро̄н	None	None	None
maksi	None	maxi	None	None	None	None	None	None	None	None	None	None
rudimenter	None	rudimentary	puutteellinen	υποτυπώδης	None	基本的	ograniczony	rudimentar	None	None	rudimental	None
harfiah	لَفْظِيّ	literal	kirjaimellinen	κατά	逐語的な	字面	dosłowny	None	None	None	None	None
catatan	None	footnote	alaviite	υποσημείωση	脚註	腳註	przypis	nota	None	None	nota	None
Wisnu	فِيشْنُو	Vishnu	None	Βισνού	ヴィシュヌ	毗濕奴	Wisznu	Vixnu	Вишну	Víšnu	Vishnú	พระวิษณุ
edar	None	revolve	pyöriä	περιστρέφομαι	回る	旋轉	wirować	girar	None	None	rotar	หมุน
selis	None	cellist	None	βιολοντσελίστας	チェリスト	大提琴手	wiolonczelista	violoncelista	None	None	violonchelista	None
sentimen	None	sentiment	ajatus	None	感情	None	None	sentimento	None	None	sentimiento	None
sentimen	None	sentiment	tunne	None	None	None	sentyment	None	None	None	None	None
gelas	None	beaker	dekantterilasi	None	None	燒杯	zlewka	béquer	None	None	vaso	None
tawar	None	tasteless	mauton	άγευστος	味のない	淡	bez	insípido	None	None	insaboro	จืด
metabolit	None	metabolite	metaboliitti	μεταβολίτης	None	代謝產物	None	metabólito	None	None	metabolito	None
anafilaksis	إِعْوَار	anaphylaxis	anafylaksia	αναφυλαξία	アナフィラキシー	過敏性反應	None	anafilaxia	None	None	None	None
balerina	بَالِيرِينَا	ballerina	balettitanssijatar	μπαλαρίνα	バレリーナ	芭蕾舞演員	baletnica	bailarina	балери́на	None	None	นักบัลเลต์
infarsi	None	infarct	infarkti	εμβολή	None	梗塞	None	infarto	None	None	None	None
cawan	None	teacup	teekuppi	φλιτζάνι	湯呑み	茶碗	filiżanka	xícara	None	None	None	None
serangan	اِحْتِشَاء	heart	sydänkohtaus	έμφραγμα	心筋梗塞	心肌梗死	zawał	ataque	срчани	miokardni	ataque	None
peri	جِنِّيّ	tooth	hammaskeiju	None	歯の妖精	牙仙	zębowa	fada	None	None	hada	ทูธแฟรี
hiliran	نَاسُور	fistula	fisteli	συρίγγιο	瘻孔	瘺管	przetoka	fístula	фи̏стула	None	None	None
pulmoner	رِئَوِيّ	pulmonary	keuhko-	None	肺の	肺的	płucny	pulmonar	плу̑ћнӣ	pljučen	None	None
apendiks	اَلزَّائِدَة	vermiform	umpilisäke	σκωληκοειδής	虫垂	闌尾	wyrostek	apêndice	None	slepič	apéndice	ไส้ติ่ง
penantang	None	challenger	haastaja	None	挑戦者	挑戰者	konkurent	desafiante	изазѝва̄ч	None	retante	คู่แข่ง
tusuk	عُود	toothpick	hammastikku	οδοντογλυφίδα	楊枝	牙簽	wykałaczka	palito	ча̏чкалица	zobotrebec	palillo	ไม้จิ้มฟัน
wali	None	regent	valtionhoitaja	αντιβασιλέας	摂政	攝政王	regentka	regente	регент	None	None	ผู้สำเร็จราชการแทนพระองค์
celengan	حَصَّالَة	piggy	säästöpossu	κουμπαράς	貯金箱	撲滿	świnka-skarbonka	cofrinho	касица-прасица	hranilnik	alcancía	กระปุกหมู
sirkuit	دارة	integrated	mikropiiri	ολοκληρωμένο	集積回路	集成電路	układ	circuito	integrirani	integrirano	None	วงจรรวม
kelenjar	غُدَّة	thyroid	kilpirauhanen	None	None	甲狀腺	tarczyca	tiroide	None	None	tiroides	ต่อมไทรอยด์
royalti	None	royalty	rojalti	πνευματικά	None	None	None	None	None	None	None	None
royalti	None	royalty	tekijänoikeuskorvaus	None	印税	None	tantiema	None	None	None	None	None
buta	أُمِّيَّة	illiteracy	lukutaidottomuus	None	非識字	文盲	analfabetyzm	analfabetismo	неписменост	None	None	None
granat	قُنْبُلَة	grenade	kranaatti	χειροβομβίδα	擲弾	榴彈	None	granada	грана́та	granata	None	ระเบิดมือ
bersusah	None	eke	kituuttaa	None	None	None	None	None	navlačiti	None	ganar	None
batu,	حَجَرَة	rock	kivi-sakset-paperi	None	じゃん拳	石頭剪子布	papier,	pedra-papel-tesoura	None	None	piedra,	เป่ายิ้งฉุบ
revisi	None	revision	None	αναθεώρηση	None	None	None	revisão	None	None	revisión	None
revisi	مُرَاجَعَة	revision	tarkastus	αναθεώρηση	None	復習	None	revisão	None	None	revisión	None
rontgen	None	röntgen	None	None	レントゲン	倫琴	rentgen	roentgen	рендген	None	None	None
fonologi	فُونُولُوجِيَّا	phonology	fonologia	φωνολογία	音韻論	音韻學	None	None	фоноло̀гија	fonologija	fonología	สัทวิทยา
pembayar	مُكَلَّف	taxpayer	veronmaksaja	φορολογούμενος	納税者	納稅人	podatnik	contribuinte	порески	davkoplačevalec	contribuyente	ผู้เสียภาษี
ragum	مِنْجَلَة	vise	ruuvipuristin	μέγγενη	バイス	老虎鉗	imadło	torno	менгеле	primež	tornillo	แท่นจับชิ้นงาน
angkatan	قُوَّات	armed	asevoimat	στράτευμα	None	武裝部隊	siły	forças	оружане	oborožene	fuerzas	การทหาร
menyimak	None	check	katsoa	None	試験する	None	sprawdzić	verificar	provjeriti	None	investigar	None
Partai	None	Labour	työväenpuolue	None	労働党	工黨	None	Partido	None	None	Partido	None
diantaranya	None	inter	muun	μεταξύ	とりわけ	除了...以外	między	entre	None	None	entre	None
demografi	دِيمُوغْرَافِيَا	demography	väestötiede	δημογραφία	None	人口學	None	None	демографија	None	demografía	ประชากรศาสตร์
pes	None	bubonic	paiserutto	βουβωνική	腺ペスト	腺鼠疫	dżuma	peste	None	None	None	None
kumbakara	خَزَّاف	potter	savenvalaja	αγγειοπλάστης	None	陶瓷工	garncarz	oleiro	ло̀нча̄р	lončar	alfarero	ช่างปั้นหม้อ
spesifisitas	None	specificity	tarkkuus	None	None	None	None	None	None	None	None	None
pulpen	None	fountain	täytekynä	πένα	万年筆	鋼筆	wieczne	caneta	на́ливперо	nalivno	estilógrafo	ปากกาหมึกซึม
paku	دَبُّوس	thumbtack	nasta	None	画鋲	圖釘	pinezka	tacha	None	risalni	chinche	หมุดหัวแบน
Federasi	الاِتِّحَاد	Russian	Venäjän	Ρωσική	ロシア連邦	俄羅斯聯邦	Federacja	Federação	Ру̏ска̄	Ruska	Federación	สหพันธรัฐรัสเซีย
perangkat	برنامج	malware	haittaohjelma	κακόβουλο	マルウェア	流氓軟件	szkodliwe	programa	малвер	škodljivo	None	มัลแวร์
laman	صَفْحَة	web	verkkosivu	ιστοσελίδα	ホームページ	網頁	strona	página	веб	spletna	página	เว็บเพจ
militerisme	عَسْكَرِيَّة	militarism	militarismi	στρατοκρατία	軍国主義	軍國主義	militaryzm	militarismo	милитарѝзам	militarizem	None	ลัทธิทหาร
konjungtiva	بطانَة	conjunctiva	sidekalvo	επιπεφυκώς	None	結膜	spojówka	conjuntiva	None	None	endometrio	เยื่อตา
arus	تَيَّار	direct	tasavirta	συνεχές	直流電流	直流電	prąd	corrente	None	None	corriente	None
gaya	None	electromotive	sähkömotorinen	ηλεκτρεγερτική	None	電動勢	siła	None	None	None	fuerza	แรงเคลื่อนไฟฟ้า
GGL	None	EMF	None	None	None	None	None	None	None	None	None	None
pengaya	None	add-on	laajennus	None	None	None	dodatek	extensão	None	None	extensión	None
ngotot	None	tenacious	sitkeä	πεισματάρης	頑強な	頑強	uparty	tenaz	None	None	tesonero	None
buret	سَحَّاحَة	burette	byretti	προχοΐδα	ビュレット	滴定管	biureta	bureta	бирѐта	None	None	None
tukang	صَانِع	craftsman	käsityöläinen	τεχνίτης	職人	工匠	rzemieślnik	artesão	зана̀тлија	obrtnik	artesano	ช่างฝีมือ
medan	حقل	electric	sähkökenttä	ηλεκτρικό	None	電場	pole	campo	električno	None	campo	สนามไฟฟ้า
federalisme	None	federalism	federalismi	τσαρισμός	連邦主義	聯邦制	regencja	federalismo	федералѝзам	None	regencia	มาตาธิปไตย
jurang	None	crevasse	railo	None	None	None	None	None	None	None	None	None
arus	تَيَّار	alternating	vaihtovirta	εναλλασσόμενο	交流電流	交流電	prąd	corrente	None	None	corriente	None
peminuman	شُرْب	drinking	juominen	None	None	None	picie	None	None	None	escabio	None
psikologis	None	psychological	psykologinen	ψυχολογικός	None	None	psychologiczny	psicológico	None	None	None	None
tangisan	بُكَاء	crying	itkeminen	None	None	None	płacz	choro	пла̏ч	jok	llanto	None
kaget	فزعان	frightened	peloissaan	None	怖い	驚駭	None	amedrontado	уплашен	None	atemorizado	None
prosiding	None	proceeding	None	None	None	None	None	None	None	None	None	None
penjual	بَائِع	seller	myyjä	πωλητής	売り手	賣方	sprzedawca	vendedor	прода̀ва̄ч	prodajalec	None	ผู้ขาย
pengkondisi	مُكَيِّف	air	ilmastointilaite	κλιματιστικό	エアコンディショナー	空調	klimatyzator	ar-condicionado	клима	klimatska	aire	เครื่องปรับอากาศ
wajib	تَجْنِيد	conscription	asevelvollisuus	στρατολόγηση	徴兵	徵兵	pobór	serviço	регрута́ција	nabor	servicio	None
muatan	شحنة	electric	sähkövaraus	ηλεκτρικό	電荷	None	ładunek	carga	električni	None	carga	ประจุไฟฟ้า
pengebom	مُهَاجِم	suicide	itsemurhapommittaja	None	自爆テロ	自殺性爆炸	None	homem-bomba	None	None	hombre	None
borsch	بُرْش	borscht	borssi	μπορς	ボルシチ	羅宋湯	barszcz	None	бо̏ршч	boršč	borshch	None
Sumatera	سُومَطْرَة	Sumatra	None	Σουμάτρα	スマトラ	蘇門答臘	None	Samatra	Суматра	None	None	สุมาตรา
mengaktifkan	None	enable	aktivoida	ενεργοποιώ	None	啟用	aktywować	ativar	укљу́чити	vklopiti	activar	None
memampukan	None	enable	tehdä	None	None	None	uzdolnić	habilitar	оспособити	None	None	None
bebal	جَاهِل	ignorant	tietämätön	αδαής	None	無知	ignorancki	ignorante	None	neveden	ignaro	None
rekomendasi	تَوْصِيَة	recommendation	suositteleminen	σύσταση	勧告	建議	rekomendacja	recomendação	пре̏порука	priporočilo	recomendación	None
antisiklon	إعصار	anticyclone	antisykloni	αντικυκλώνας	高気圧	反氣旋	antycyklon	anticiclone	антициклон	None	anticiclón	None
Selat	بَحْر	English	Englannin	Μάγχη	イギリス海峡	英吉利海峽	La	Canal	Ламанш	Rokavski	canal	ช่องแคบอังกฤษ
-sasi	ـِيَّة	-ation	-aatio	None	None	-化	-acja	-ação	-ација	None	-ación	None
sumber	مَوْرِد	natural	luonnonvara	φυσικός	天然資源	資源	zasób	recurso	природно	naravni	None	ทรัพยากรธรรมชาติ
kolektif	None	collective	yhteinen	None	None	None	None	None	None	None	None	None
tangga	سَلَالِم	stair	portaat	σκάλα	階段	樓梯	None	escada	stubište	None	escalera	บันได
haus	None	bloodthirsty	verenhimoinen	αιμοσταγής	血に飢える	嗜血	krwiożerczy	encarniçado	кр̏волочан	krvoločen	sanguinario	None
tangga	سَلَالِم	stairs	portaat	σκάλα	階段	樓梯	schody	escada	степенице	stopnišče	escalera	บันได
kaisar	قَيْصَر	Caesar	None	καίσαρας	None	None	cezar	césar	None	None	None	None
daging	None	saddle	satula	None	None	None	comber	None	None	None	None	None
warganet	None	netizen	nettikansalainen	κυβερνοπολίτης	ネチズン	網民	internauta	cibernauta	None	None	None	ชาวเน็ต
ignostisisme	غنوسطية	ignosticism	ignostismi	ιγνωστικισμός	None	漠視主義	ignostycyzm	ignosticismo	None	None	None	None
memanjang	None	elongated	pitkulainen	None	細長い	拉長的	None	alongado	None	None	None	None
memanjang	None	elongated	pidennetty	None	None	None	None	alongado	None	None	None	None
menangkap	None	roust	None	None	None	None	None	None	None	None	None	None
empati	تَعَاطُف	empathy	empatia	ενσυναίσθηση	共感	移情	None	None	None	None	empatía	None
antiklimaks	None	anticlimax	antikliimaksi	γελοία	竜頭蛇尾	None	None	anticlímax	None	None	None	None
sobat	None	buddy	kaveri	None	仲間	哥兒	kumpel	companheiro	друшкан	None	compañero	None
lokapasar	None	marketplace	markkinapaikka	None	None	None	None	None	None	None	None	None
lokapasar	None	marketplace	markkinat	None	None	None	None	None	None	None	None	None
metamfetamin	ميثامفيتامين	methamphetamine	metamfetamiini	μεθαμφεταμίνη	メタンフェタミン	甲基苯丙胺	metamfetamina	metanfetamina	None	None	None	None
sumsum	نُخَاع	spinal	selkäydin	νωτιαίος	脊髄	脊髓	rdzeń	medula	кичмена	hrbtenjača	médula	ไขสันหลัง
tebusan	فِدْيَة	ransom	lunnaat	λύτρα	身代金	贖金	okup	resgate	откупнина	odkupnina	rescate	ไถ่ตัว
koloid	None	colloid	kolloidi	κολλοειδές	コロイド	膠體	None	coloide	None	None	None	คอลลอยด์
detektor	None	detector	ilmaisin	ανιχνευτής	None	None	wykrywacz	detetor	None	None	None	None
tuan	مول	landlord	vuokranantaja	σπιτονοικοκύρης	家主	房東	właściciel	senhorio	станода́вац	None	arrendador	None
senjata	سِلَاح	nuclear	ydinase	πυρηνικό	核兵器	核武器	broń	arma	нуклеарно	jedrsko	None	อาวุธนิวเคลียร์
jakun	تُفَّاحَة	Adam's	aataminomena	μήλο	喉仏	喉結	jabłko	pomo	Адамова	None	bocado	ลูกกระเดือก
memiringkan	None	tilt	kallistaa	None	None	None	None	inclinar	None	None	ladear	None
dewanagari	دِيفَانَاجَارِي	Devanagari	devanagari	ντεβανάγκαρι	デーヴァナーガリー	天城文	None	devanágari	девана̀гари	None	devanagarí	เทวนาครี
bom	قُنْبُلَة	atomic	ydinpommi	ατομική	原子爆弾	原子彈	bomba	bomba	а̀то̄мска̄	atomska	bombo	ระเบิดปรมาณู
provokator	None	provocateur	provokaattori	προβοκάτορας	None	挑釁者	prowokator	None	None	None	provocador	None
sistem	None	central	keskushermosto	κεντρικό	中枢神経系	中樞神經系統	ośrodkowy	sistema	None	None	sistema	ระบบประสาทกลาง
taman	رِيَاض	kindergarten	esikoulu	νηπιαγωγείο	None	幼兒園	przedszkole	jardim	vr̀tić	vrtec	parvulario	โรงเรียนอนุบาล
sirosis	تَشَمُّع	cirrhosis	kirroosi	κίρρωση	肝硬変	肝硬化	marskość	cirrose	циро́за	ciroza	cirrosis	ตับแข็ง
banyak	None	resourceful	neuvokas	πολυμήχανος	None	机灵的	zaradny	inventivo	None	None	None	None
barang	بِضَاعَة	commodity	hyödyke	εμπόρευμα	品	商品	towar	comodidade	ро̏ба	blago	bien	สินค้า
komoditas	None	commodity	raaka-aine	None	None	None	None	matéria-prima	ро̏ба	None	materia	None
kolam	مَسْبَح	swimming	uima-allas	πισίνα	プール	游泳池	basen	piscina	плѝвалӣште	bazen	piscina)	สระว่ายน้ำ
asonansi	None	assonance	assonanssi	None	None	類韻	asonans	None	None	None	asonancia	None
penembak	None	marksman	tarkka-ampuja	δεινός	None	(男)射手	strzelec	atirador	None	None	tirador	None
wanita	فَرَنْسِيَّة	Frenchwoman	ranskalaisnainen	Γαλλίδα	フランス人	法國人	Francuzka	francesa	Фра̀нцускиња	Francózinja	None	ผู้หญิงฝรั่งเศส
bayi	None	test	koeputkilapsi	παιδί	None	試管嬰兒	None	None	None	None	niño	None
penipu	غَشَّاش	deceiver	None	None	詐欺師	欺詐者	None	enganador	None	None	embustero	None
teritorial	إِقْلِيمِيّ	territorial	alueellinen	None	None	None	terytorialny	None	територијалан	teritorialen	None	None
alkoholisme	كُحُولِيَّة	alcoholism	alkoholismi	αλκοολισμός	アルコール依存症	酗酒	alkoholizm	alcoolismo	alkoholizam	alkoholizem	alcoholismo	โรคพิษสุราเรื้อรัง
Sistem	None	geographic	paikkatietojärjestelmä	Γεωγραφικά	地理情報システム	地理信息系统	system	sistema	None	None	sistema	None
orang	فَرَنْسِيّ	Frenchman	ranskalainen	Γάλλος	フランス人	法國人	Francuz	francês	Француз	Francóz	francés	ผู้ชายฝรั่งเศส
skala	مِقْيَاس	Richter	Richter-asteikko	κλίμακα	リヒター・スケール	里氏地震規模	skala	escala	Рихтерова	None	None	None
Maoisme	مَاوِيَّة	Maoism	maolaisuus	μαοϊσμός	毛沢東思想	毛主義	maoizm	maoísmo	маоизам	maoizem	None	ลัทธิเหมาเจ๋อตง
papan	لَوْح	skateboard	skeittilauta	σκέιτμπορντ	スケートボード	滑板	deskorolka	skate	скејтборд	rolka	monopatín	สเกตบอร์ด
teras	None	terrace	terassi	None	None	None	taras	terraço	None	None	terraza	None
sengked	None	terrace	pengermä	αναβαθμός	None	None	taras	terraço	None	None	bancal	None
pesawat	طَائِرَة	airliner	matkustajakone	αεροπλάνο	旅客機	班機	samolot	avião	пу̑тничкӣ	potniško	avión	สายการบิน
tekstual	None	textual	tekstuaalinen	κειμενικός	None	None	tekstowy	None	None	None	None	None
gangguan	اِضْطِرَاب	post-traumatic	traumaperäinen	None	心的外傷後ストレス障害	創傷後心理壓力緊張綜合症	zespół	transtorno	posttraumatski	None	trastorno	None
kolegial	None	collegial	kollegiaalinen	None	None	None	kolegialny	None	None	None	None	None
kolegial	None	collegial	kollegiaalinen	None	None	None	None	None	None	None	None	None
mengkhawatirkan	None	worrisome	huolestuttava	None	None	None	None	preocupante	None	None	None	None
bahasa	None	Karen	kareni	None	チューク語	克倫人	Ajnos	ainos	None	None	ainu	กะเหรี่ยง
plutokrasi	بلوتوقراطية	plutocracy	rahavalta	πλουτοκρατία	金権政治	金權政治	plutokracja	plutocracia	плутокра̀ција	plutokracija	None	เศรษฐยาธิปไตย
bronkoskopi	القطع	magnetic	magneettikuvaus	βρογχοσκόπηση	脳磁図	核磁共振成像	magnetoencefalografia	coivara	магнетоенцефалографија	bronhoskopija	imagen	None
kesejahteraan	رَفَاهَة	welfare	hyvinvointi	ευημερία	幸せ	福利	dobrobyt	bem-estar	None	blaginja	bienestar	สวัสดิภาพ
nasi	لَا	cry	itkeä	None	None	吃後悔藥	płakać	chorar	None	None	llorar	None
kesedihan	حُزْن	sadness	surullisuus	λύπη	悲しみ	悲傷	smutek	tristeza	ту́га	žalost	None	ความเศร้า
mencit	None	house	kotihiiri	None	二十日鼠	小家鼠	mysz	camundongo	None	None	ratón	None
paruh	None	part-time	osa-aikainen	None	パートタイム	兼職	na	de	None	None	tiempo	None
balkon	شُرْفَة	balcony	parveke	μπαλκόνι	バルコニー	陽臺	None	sacada	ба̀лко̄н	None	balcón	ระเบียง
suksesif	مُتَتَابِع	successive	peräkkäinen	αλλεπάλληλος	None	None	None	None	None	None	sucesivo	None
jendela	None	pop-up	ponnahdusikkuna	None	None	弹出广告	wyskakujące	publicidade	skočni	None	ventana	None
stalinisme	سْتَالِينِيَّة	Stalinism	stalinismi	σταλινισμός	スターリニズム	斯大林主義	stalinizm	stalinismo	стаљинѝзам	stalinizem	None	ลัทธิสตาลิน
yudisial	قَضَائِي	judicial	oikeudellinen	δικαστικός	司法の	司法	sądowy	judiciário	су̀дскӣ	sodni	None	None
daun	None	spring	pillisipuli	φρέσκο	ネギ	蔥	czosnek	cebolinha	мла̑дӣ	zimski	cebolleta	ต้นหอม
bait	مَقْطَع	stanza	säkeistö	στροφή	None	詩節	zwrotka	estrofe	stih	None	estrofa	None
gelombang	مَوْجَة	radio	radioaallot	ραδιοκύμα	電波	無線電波	fala	onda	радиоталас	radijski	onda	คลื่นวิทยุ
daya	None	conductivity	johtavuus	αγωγιμότητα	伝導性	傳導率	konduktywność	condutividade	None	None	conductividad	None
Zoroastris	زَرَادُشْتِيّ	Zoroastrian	zarathustralainen	ζωροάστρης	None	None	None	zoroastriano	None	None	None	None
mikrofon	مِيكْرُوفُون	microphone	mikrofoni	μικρόφωνο	マイクロフォン	麥克風	None	microfone	ми̏крофо̄н	None	micrófono	ไมโครโฟน
Zoroastrianisme	زرادشتِيَّة	Zoroastrianism	zarathustralaisuus	ζωροαστρισμός	ゾロアスター教	祆教	zaratusztrianizm	zoroastrismo	зороастријанизам	zoroastrstvo	None	ศาสนาโซโรอัสเตอร์
bawang	كراث	shallot	salottisipuli	ασκαλώνιο	エシャロット	火蔥	szalotka	chalota	None	šalotka	chalote	หอมแดง
hubungan	None	short	oikosulku	βραχυκύκλωμα	短絡	短路	zwarcie	curto-circuito	None	None	cortocircuito	None
impedans	None	impedance	impedanssi	εμπέδηση	None	None	impedancja	impedância	impedancija	None	impedancia	None
inkues	None	inquest	None	ανάκριση	None	None	None	None	None	None	None	None
kucing	None	pussy-cat	kisu	γατούλα	None	None	kicia	None	None	None	None	None
