Sense	Arabic	English	Finnish	Greek	Indonesian	Japanese	Mandarin Chinese	POS	Polish	Portuguese	Serbo-Croatian	Slovene	Spanish	Thai	lang	POS
attestation of a fact or event	شَهَادَة	witness	todistus	None	saksi	証人 証	證人 证人	n o u n	świadectwo	testemunho	сведоча́нство свједоча́нство svedočánstvo svjedočánstvo	None	testimonio	พยาน	None	noun
state or condition of being complete	None	completeness	täydellisyys valmius	None	kelengkapan	None	完整性	n o u n	całkowitość kompletność zupełność pełnia	completidão completude	None	None	completitud	None	None	noun
incomplete state or condition	None	incompleteness	epätäydellisyys	None	ketidaklengkapan	未完	None	n o u n	None	incompletude	None	None	incompletitud incompletud	None	None	noun
fate; a predetermined or unavoidable destiny	قِسْمَة	kismet	kohtalo	None	nasib takdir	None	命運 命运	n o u n	los przeznaczenie	fado destino sina	кисмет крсмет судбина удес krsmet sudbina udes	None	hado sino	None	None	noun
narrow section of water between Sicily and mainland Italy	مَضِيْق مِسِّينَة	Strait of Messina	Messinansalmi	στενό της Μεσσήνης	Selat Messina	メッシーナ海峡	墨西拿海峽 墨西拿海峡	n a m e	Cieśnina Mesyńska Cieśnina Messyńska	Estreito de Messina	Мѐсӣнскӣ тјѐснац Мѐсӣнскӣ про́лаз Mèsīnskī tjèsnac Mèsīnskī prólaz	Mesinska ožina Sicilska ožína	Estrecho de Mesina	None	None	name
statement of intent	None	resolution	päätös lupaus	απόφαση	resolusi	決断 決心 表明	None	n o u n	None	resolução	None	None	None	None	None	noun
suffering from a wound	جَرِيح مَجْرُوح	wounded	haavoittunut	τραυματισμένος	terluka	負傷した	負傷 负伤	a d j	ranny	ferido machucado	None	None	herido	None	None	adj
to contend, with an opponent, by grappling and attempting to throw	None	wrestle	painia	παλεύω	gulat bergulat	格闘する	摔角 摔跤 搏鬥 搏斗	v e r b	None	lutar	rvati	None	luchar	ปล้ำ	None	verb
species of grass whose sap is a source of sugar	قَصَب اَلسُّكَّر قصب السكر	sugar cane	sokeriruoko	None	tebu	サトウキビ 砂糖黍	甘蔗 竿蔗	n o u n	trzcina cukrowa	cana-de-açúcar	шећерна трска šećerna trska	sladkorni trs	caña de azúcar	อ้อย	None	noun
chief male servant	قَهْرَمَان	butler	hovimestari	αρχιοικονόμος	pelayan	None	管家 執事 执事	n o u n	kamerdyner	mordomo	ба̏тлер bȁtler	None	mayordomo	None	None	noun
something that distracts	None	distraction	häiriö häiriötekijä	None	pengalih	逆上	None	n o u n	None	distracção distração	None	None	distracción	สิ่งเบี่ยงเบนความสนใจ	None	noun
the process of being distracted	None	distraction	häiriö	None	gangguan	None	None	n o u n	None	distracção distração	None	None	distracción	การเบี่ยงเบนความสนใจ	None	noun
person who walks	مَاشٍ	walker	kävelijä	πεζοπόρος περιπατητής	pejalan pejalan kaki	None	None	n o u n	None	andarilho caminhante	None	None	caminante	None	None	noun
any of several glacial periods	عَصْر جَلِيدِيّ	ice age	jääkausi	Εποχή των Παγετώνων	zaman es	氷河期 氷河時代	冰河時期 冰河时期 冰期 冰河期	n o u n	epoka lodowcowa	era do gelo era glacial idade do gelo período glacial	None	ledena doba	glaciación	ยุคน้ำแข็ง	None	noun
practice of lending money at illegal or unfair rates	None	usury	koronkiskonta	τοκογλυφία	riba	None	None	n o u n	lichwiarstwo	usura	kamatarenje lihvarenje	None	None	None	None	noun
variant of language used by a social group	لهجة اجتماعية	sociolect	sosiolekti	κοινωνιόλεκτος	sosiolek	None	社會方言 社会方言	n o u n	socjolekt	socioleto	sociolekt	None	sociolecto	None	None	noun
watch worn on the wrist	None	wristwatch	rannekello	ρολόι χειρός	jam tangan	腕時計	手錶 手表	n o u n	zegarek na rękę	relógio de pulso relógio-pulseira	ручни сат ručni sat	ročna ura zapestna ura	reloj de pulsera reloj	นาฬิกาข้อมือ	None	noun
forecast or prognosis obtained by extrapolation	None	projection	projektio	None	proyeksi	None	None	n o u n	przewidywanie prognoza	projeção	None	None	proyección	None	None	noun
psychology: belief that others have similar thoughts and experiences as oneself	None	projection	projektio heijastaminen	None	proyeksi	None	投射	n o u n	projekcja	None	None	None	proyección	None	None	noun
fold of skin hanging from the neck of birds	None	wattle	heltta	λειρί	gelambir	None	None	n o u n	None	barbela papilha	None	None	barbilla carúncula	เหนียง	None	noun
governor of a country	None	viceroy	varakuningas	None	wazir wizurai raja muda wakil mahkota wakil raja	総督 副王 バイスロイ	總督 总督 督撫 督抚	n o u n	wicekról	vice-rei	None	None	virrey	None	None	noun
deputy to a president	نَائِب رَئِيس نَائِبَةُ رَئِيسَة	vice president	varapresidentti	αντιπρόεδρος	wakil presiden	副大統領 ヴァイスプレジデント	副總統 副总统	n o u n	wiceprezydent wiceprezydentka	vice-presidente	потпре́дседнӣк potprédsednīk	None	vicepresidente vicepresidenta	None	None	noun
a family unit consisting of a father, mother and children	None	nuclear family	ydinperhe	None	keluarga inti keluarga batih	核家族	核心家庭	n o u n	rodzina nuklearna	família nuclear	None	None	familia nuclear	None	None	noun
mechanical system used to circulate and replace air	None	ventilation	ilmanvaihto ilmanvaihtojärjestelmä tuuletusjärjestelmä	εξαερισμός	ventilasi	None	None	n o u n	wentylacja nawiew	ventilação	None	None	ventilación	None	None	noun
breathing	None	ventilation respiration	hengitys	αναπνοή	respirasi pernapasan	換気	換氣 换气 呼吸	n o u n	None	ventilação respiração	None	None	ventilación respiración	None	None	noun
second central moment in probability (statistics)	None	variance	varianssi	None	variansi ragam	分散	方差 變異數 变异数	n o u n	wariancja	variância	None	None	varianza	None	None	noun
unhappy, unfortunate, or miserable person	None	wretch	ressukka raasu poloinen	None	orang malang orang celaka bedebah	None	可怜虫	n o u n	biedak	miserável desgraçado coitado	None	None	desgraciado desventurado desgraciada desventurada	None	None	noun
act of vibrating	اهتزاز	vibration	värähteleminen	δόνηση κραδασμός	vibrasi	None	振動 振动 振盪 振荡	n o u n	None	vibração	None	None	vibración	การสั่นสะเทือน	None	noun
weariness	إِرْهَاق تَعَب	fatigue	väsymys uupumus väsyminen uupuminen	κόπος κούραση καταπόνηση	kelelahan	疲労 疲れ	疲勞 疲劳 倦怠 乏力 勞累 劳累	n o u n	zmęczenie	fadiga	у́мор úmor	utrujenost	fatiga	ความล้า	None	noun
the practice of witches	سِحْر	witchcraft	noituus	μαγεία	sihir tenung	妖術	巫術 巫术 魔術 魔术 魔法	n o u n	czary	bruxaria	враџбина вештичарство вјештичарство vradžbina veštičarstvo vještičarstvo	čarovništvo	brujería	เวทมนตร์	None	noun
large bowl-shaped pot	قِدْر قزان	cauldron	pata	χύτρα καζάνι	kaldron kuali kawah kenceng	大釜	釜 大鍋 大锅	n o u n	kocioł	caldeirão	kotao котао	kotel	cacerola caldera	หม้อน้ำ	None	noun
small compartment where a voter may register a vote	None	voting booth	äänestyskoppi	None	kotak suara	None	投票站	n o u n	kabina wyborcza	None	None	None	cabina electoral	None	None	noun
to review for, and if necessary to remove or suppress, objectionable content	None	censor	sensuroida	None	menyensor	検閲する	檢查 检查 審查 审查	v e r b	cenzurować ocenzurować	censurar	None	None	None	None	None	verb
largest city of Turkey and last capital of Ottoman Empire	إِسْطَنْبُول إِسْتَنْبُول استانبول إسطنبول	Istanbul	Konstantinopoli	Κωνσταντινούπολη Πόλη	Istambul	イスタンブール	伊斯坦布爾 伊斯坦布尔 伊斯坦堡	n a m e	Stambuł Istambuł	None	Истанбул Цариград Константинопољ Carigrad Konstantinopolj	Ístanbul	Estambul	อิสตันบูล	None	name
the power, right, or authority to interpret and apply the law	قَضَاء	jurisdiction	tuomiovalta	δικαιοδοσία	wewenang yurisdiksi	管轄	管轄權 管辖权	n o u n	jurysdykcja	competência jurisdição	јурисдѝкција jurisdìkcija	jurisdikcija	jurisdicción	None	None	noun
the power or right to exercise authority	اِخْتِصَاص	jurisdiction	toimivalta	δικαιοδοσία αρμοδιότητα	wewenang yurisdiksi	None	None	n o u n	jurysdykcja	competência	None	None	jurisdicción	None	None	noun
the limits or territory within which authority may be exercised	None	jurisdiction	hallintoalue	δικαιοδοσία	kewenangan yurisdiksi	None	None	n o u n	jurysdykcja	jurisdição	None	None	jurisdicción	None	None	noun
abyss, chasm	None	gulf	None	None	jurang	None	None	n o u n	None	None	None	None	None	None	None	noun
geography	خَلِيج جون	gulf	lahti	κόλπος	teluk	None	灣 湾 海灣 海湾	n o u n	zatoka	golfo	залив заљев zaliv zaljev	None	None	อ่าว	None	noun
difficult to defeat or overcome	None	formidable	vaarallinen voittamaton	None	hebat	None	None	a d j	None	None	None	None	None	None	None	adj
commissioned office in the armed services	عَقِيد زَعِيم زَعِيم رُتْبَة كُولُونِيل	colonel	eversti	συνταγματάρχης σμήναρχος	kolonel	大佐	上校	n o u n	pułkownik	coronel	пу̀ко̄внӣк пуковница pùkōvnīk pukovnica	polkovnik polkóvnica	None	None	None	noun
the profession of devising and blazoning arms	عِلْم شِعَارات النَبَالَة	heraldry	heraldiikka vaakunaoppi	εραλδική	perbentaraan	紋章学	紋章學 纹章学	n o u n	heraldyka	heráldica	хера̀лдика heràldika	heráldika	blasón	มุทราศาสตร์	None	noun
characterized by hypocrisy or being a hypocrite	None	hypocritical	tekopyhä	None	munafik	None	虛偽 虚伪 假惺惺 偽善 伪善	a d j	obłudny	hipócrita	None	None	mocho	None	None	adj
activity or profession of being a journalist	صِحَافَة صَحَافَة صحافة	journalism	journalismi	δημοσιογραφία	jurnalisme kewartawanan	ジャーナリズム	新聞學 新闻学 新聞界 新闻界 新聞業 新闻业 新聞工作 新闻工作	n o u n	dziennikarstwo	jornalismo periodismo	новина́рство журналѝстика novinárstvo žurnalìstika	novinarstvo	None	วารสารศาสตร์	None	noun
cassette containing recorded videotape	كَاسِيت فِيدِيُو	videocassette	videokasetti	βιντεοκασέτα	videokaset	ビデオカセット ビデオ	錄像帶 录像带	n o u n	kaseta wideo	videocassete	видеокасѐта videokasèta	video kaseta	videocasete cinta de vídeo	None	None	noun
clear, and having no uncertainty or ambiguity	غَيْر مُبْهَم	unambiguous	yksikäsitteinen	αναμφίσημος αναμφίβολος αναμφίλεκτος αναντίρρητος ευκρινής σαφής	awataksa	None	None	a d j	jednoznaczny	inambíguo	None	None	carente de ambigüedad	None	None	adj
situation in which the response to a problem creates another problem	None	vicious circle	noidankehä	φαύλος κύκλος	lingkaran setan	悪循環	惡性循環 恶性循环	n o u n	błędne koło	círculo vicioso	зачарани круг začarani krug	začarani krog	None	วงจรอุบาทว์	None	noun
process by which a criminal suspect is handed over to another government	تَسْلِيم	extradition	luovutus	έκδοση	ekstradisi	引き渡し 引渡し	引渡	n o u n	ekstradycja	extradição	None	None	extradición	การส่งผู้ร้ายข้ามแดน	None	noun
a member of a certain nontrinitarian Christian denomination	None	Christadelphian Socinian	kristadelfialainen socinolainen	Χριστάδελφος	Kristadelfianisme	キリスト・アデルフィアン派教徒	基督弟兄會會員 基督弟兄会会员 索齊尼派教徒 索齐尼派教徒	n o u n	chrystadelfianin socynianin arianin arianka	cristadelfiano sociniano	кристаделфијанац христаделфијан kristadelfijanac hristadelfijan социнијанац socinijanac	kristadelfijanec socinijanec	None	None	None	noun
punishment by death	إِعْدَام عُقُوبَة اَلْإِعْدَام عُقُوبَة اَلْمَوْت	capital punishment	kuolemanrangaistus	θανατική ποινή έσχατη ποινή	hukuman mati	None	死刑 極刑 极刑 死罪	n o u n	kara śmierci najwyższy wymiar kary	pena de morte pena capital	None	smrtna kazen	castigo capital	None	None	noun
a sealed box into which a voter puts a voting slip	None	ballot box	vaaliuurna uurna	κάλπη ψηφοδόχος	kotak suara	None	票箱 票匭 票匦 投票箱	n o u n	None	urna	None	None	urna electoral	None	None	noun
flower cluster	None	inflorescence	kukinto	None	bunga majemuk	None	花序	n o u n	kwiatostan	inflorescência	цва̑ст цва̑т cvȃst cvȃt	socvétje inflorescenca	inflorescencia	None	None	noun
retaliatory action	ثَأْر اِنْتِقَام تار انتقام ثار	revenge	kosto	εκδίκηση	balas dendam pembalasan	復讐	報仇 报仇 復仇 复仇 報復 报复	n o u n	odwet pomsta zemsta	vingança	о̏света о̀дмазда ȍsveta òdmazda	maščevanje	venganza	ความอาฆาต	None	noun
protein-rich food made from curdled soy milk	تُوفُو	tofu	None	τόφου	tahu	None	豆腐	n o u n	None	None	tȍfu то̏фу	None	None	เต้าหู้	None	noun
singer whose songs are lip-synced by an actor	None	playback singer	None	None	penyanyi playback	プレイバックシンガー	None	n o u n	None	None	None	None	None	None	None	noun
in addition, also	None	as well	myös lisäksi -kin	επίσης κιόλας	juga	も	都	a d v	też także	também	None	None	también	None	None	adv
to injure a person's dignity and self-respect	أَخْزَى اِسْتَذَلَّ أَذَلَّ	humiliate	nöyryyttää	ταπεινώνω ρεζιλεύω ντροπιάζω	membuat malu	辱める 屈辱を与える 凹ます	羞辱 侮辱 污辱 欺侮 辱罵 辱骂	v e r b	upokarzać upokorzyć poniżać poniżyć	humilhar	унижа́вати унизи́вати уни́зити понижа́вати понизи́вати пони́зити unižávati unizívati uníziti ponižávati ponizívati poníziti	poniževati ponižati	humillar	ฉีกหน้า	None	verb
piece of land projecting into water	شِبْه جَزِيرَة	peninsula	niemimaa	χερσόνησος	semenanjung	None	半島 半岛	n o u n	półwysep	península	по̏луоток полуострво pȍluotok poluostrvo	polotok	None	คาบสมุทร	None	noun
of or relating to the medical treatment of animals	بَيْطَرِيّ	veterinary	eläinlääketieteellinen	None	kedokteran hewan veteriner	None	None	a d j	None	veterinário	veterìnārskī	None	veterinario	None	None	adj
branch of the military devoted to air warfare	سِلَاح طَيَرَان	air force	ilmavoimat	αεροπορία	angkatan udara	None	空軍 空军	n o u n	siły powietrzne	força aérea	ратно зракопловство војно зракопловство ратно ваздухопловство ratno zrakoplovstvo vojno zrakoplovstvo ratno vazduhoplovstvo	vojno letalstvo	fuerza aérea	กองทัพอากาศ	None	noun
factor	None	prime factor control variable	alkutekijä	None	faktor prima	素因数	質因數 质因数	n o u n	czynnik pierwszy	None	None	None	None	None	None	noun
formal, written request made to an official person	عَرِيضَة	petition	vetoomus adressi	αίτηση αναφορά	petisi	None	請願 请愿	n o u n	petycja	petição	None	None	petición	None	None	noun
compilation of signatures	عَرِيضَة	petition	adressi vetoomus	αίτηση	petisi	None	None	n o u n	None	abaixo-assinado	пѐтӣција pètīcija	None	None	None	None	noun
legal: formal request for judicial action	None	petition	hakemus anomus	αίτηση	petisi	None	None	n o u n	None	None	None	None	petición	คำร้อง	None	noun
public declaration	بَيَان	manifesto	manifesti ohjelmajulistus	μανιφέστο	manifes	檄 檄文 マニフェスト	宣言 公告 告示	n o u n	manifest	None	None	None	manifiesto	None	None	noun
inedible parts of grain plant	None	chaff	ruumen akana	None	sekam	籾殻 もみがら	秕糠 穀殼 谷壳 穀糠 谷糠	n o u n	plewy	moinha palha	плева пљева pleva pljeva	None	paja barcia bagazo	แกลบ	None	noun
to enter or put forward something for approval, consideration, marking etc.	None	submit	jättää esittää luovuttaa palauttaa alistaa	υποβάλλω	mengumpulkan	提出する	提交	v e r b	None	submeter apresentar	None	None	someter presentar entregar cursar	None	None	verb
blocked	None	dead-end	umpi-	None	buntu	None	None	a d j	None	None	None	None	None	None	None	adj
(transitive) start something again that has been stopped or paused	اِسْتَأْنَفَ	resume	jatkaa aloittaa uudelleen	ξαναρχίζω	melanjutkan	再開する	恢復 恢复 重新開始 重新开始	v e r b	wznawiać wznowić	retomar continuar	nastaviti	None	reanudar	None	None	verb
open sore	قَرْحَة قُرْحَة	ulcer	haava haavauma haavautuma	έλκος	borok sariawan tukak	None	潰瘍 溃疡	n o u n	wrzód	úlcera	чи̏р гри̏злица čȉr grȉzlica	čir razjeda	llaga	แผลเปื่อย	None	noun
cord between foetus and placenta	حَبْل سُرِّيّ	umbilical cord	napanuora	ομφάλιος λωρός	tali pusat	臍帯 臍の緒	臍帶 脐带	n o u n	pępowina	cordão umbilical	пупчана врпца pupčana vrpca	popkovnica popkovina	cuerda umbilical	สายสะดือ	None	noun
the act or process of arbitrating	None	arbitration	välimiesmenettely arbitraatio	None	arbitrase	仲介	仲裁	n o u n	arbitraż	arbitragem arbitramento arbitração	None	None	arbitraje	None	None	noun
process through which two or more parties use an arbitrator or arbiter in order to resolve a dispute	None	arbitration	välimiesmenettely arbitraatio	None	arbitrase	仲介	仲裁	n o u n	arbitraż	arbitragem arbitramento arbitração	None	None	None	None	None	noun
form of justice	None	arbitration restorative justice	välimiesmenettely arbitraatio restoratiivinen oikeus korjaava oikeus	None	arbitrase	仲介	仲裁 恢復性司法 恢复性司法	n o u n	None	arbitragem arbitramento arbitração	None	None	None	None	None	noun
the study of methods used in a field	None	methodology	menetelmäoppi	μεθοδολογία	metodologi	None	方法論 方法论	n o u n	metodologia	None	None	None	metodología	None	None	noun
STD	سَيَلَان	gonorrhea	tippuri	βλεννόρροια	kencing nanah gonore	None	淋病	n o u n	rzeżączka	gonorreia	гонореја gonoreja kapavac	None	gonorrea	หนองใน	None	noun
headgear for horse	لِجَام صُرْع عِنَان لجام	bridle	suitset päitset (headstall)	χαλινάρι	kekang	手綱	轡 辔 轡頭 辔头 馬籠頭 马笼头	n o u n	uzda ogłowie tranzelka	brida	узде uzde	None	None	ขลุม บังเหียน	None	noun
day before yesterday - translation entry	أَوَّل أَمْس	day before yesterday	toissa päivä	προχθές πριν την χθεσινή μέρα	kemarin dulu	一昨日	前天 前日	n o u n	przedwczoraj	dia antes de ontem anteontem	прекјуче prekjuče	None	anteayer antier	วานซืน	None	noun
study allowance	مِنْحَة دِرَاسِيَّة إِعَانَة دِرَاسِيَّة	scholarship	apuraha stipendi	υποτροφία	beasiswa dana siswa	奨学金	獎學金 奖学金	n o u n	stypendium	bolsa de estudos	стипѐндија stipèndija	štipendija	beca	ทุนการศึกษา	None	noun
title of nobility	مَرْكِيز	marquess	markiisi	μαρκήσιος	tumenggung	None	侯爵	n o u n	markiz	marquês	маркиз	None	marqués	มาร์ควิส	None	noun
dream	كَابُوس كابوس	nightmare	painajainen	εφιάλτης	mimpi buruk	悪夢	噩夢 噩梦 惡夢 恶梦	n o u n	koszmar mara zmora	pesadelo	ноћна мора кошмар noćna mora košmar	nočna mora	pesadilla mal sueño	ฝันร้าย	None	noun
device that circulates fresh air and expels stale or noxious air	مِرْوَحَة	ventilator	ilmanvaihtokone	None	penggemar	ベンチレーター	通風器 通风器 換氣機 换气机	n o u n	wentylator	ventilador circulador de ar exaustor	None	None	None	None	None	noun
based on unanimity	None	unanimous	yksimielinen	ομόφωνος	sepakat seia sekata mufakat	全会一致	None	a d j	jednogłośny jednomyślny	unânime	једно̀гласан једно̀душан jednòglasan jednòdušan	soglasen	unánime	None	None	adj
sharing the same view	None	unanimous	yksimielinen	None	sependapat	None	一致	a d j	jednomyślny	unânime	None	None	unánime	None	None	adj
large scale trade	تِجَارَة	commerce	kauppa kaupankäynti	εμπόριο	perdagangan	None	貿易 贸易 交易 商業 商业	n o u n	handel	comércio	трго̀вина trgòvina	trgovina	comercio	พาณิชย์ ธุรกิจ การค้า	None	noun
software or hardware designed to record keystrokes	None	key logger	näppäinnauhuri	καταγραφέας πληκτρολόγησης	perekam ketikan	None	None	n o u n	rejestrator klawiszy	keylogger	None	None	None	None	None	noun
ointment, cream or balm	مَرْهَم زَبْدَة بَلْسَم	salve	voide salva balsami	αλοιφή	salep balsem	None	藥膏 药膏 軟膏 软膏	n o u n	None	pomada	None	None	ungüento bálsamo	None	None	noun
to run a process to make file fragments on a hard disk contiguous	None	defragment	eheyttää	None	mendefragmentasi	None	None	v e r b	defragmentować	desfragmentar	defragmentirati	None	None	None	None	verb
East and Southeast Asia	اَلشَّرْق اَلْأُقْصَى	Far East	Kaukoitä	Άπω Ανατολή	Timur Jauh	None	遠東 远东 極東 极东	n a m e	Daleki Wschód	Extremo Oriente	Далеки Исток Daleki Istok	Daljni vzhod	None	ตะวันออกไกล	None	name
day after tomorrow - translation entry	بَعْدَ غَد بعد بكرة عقب باچر بعد غدا	day after tomorrow	ylihuominen	μεθαύριο μετά την επόμενη μέρα	lusa esok lusa	明後日	後天 后天	n o u n	pojutrze	dia depois de amanhã	прѐксутра преко̀сутра prèksutra prekòsutra	None	pasado mañana	มะรืน	None	noun
game played with a ball	None	ball game	pallopeli palloilulaji	παιχνίδι μπάλα	permainan bola	球技	球類運動 球类运动	n o u n	None	jogo de bola	lopta igra	None	juego de pelota	None	None	noun
wearing nothing on the feet	حَافٍ حَافِي حافي حفيان حافي القدمين	barefoot	paljasjalkainen paljain jaloin avojaloin	ξυπόλυτος ξυπόλητα ανυπόδετα	telanjang kaki	裸足 素足 裸足で 素足で	赤腳 赤脚 光腳 光脚	a d v	bosy boso na bosaka	descalço descalça	бо̑с босо̀ног bȏs bosònog	bos bosonog	descalzo chuña a pies pelados	None	None	adv
that which is proposed	مُقْتَرَح اِقْتِرَاح	proposal	ehdotus esitys kosinta	πρόταση	lamaran usul usulan	プロポーズ	提議 提议 建議 建议 提案 求婚	n o u n	propozycja oferta	proposta	пре́длог прије́длог по̏нуда prédlog prijédlog pȍnuda	predlog	propuesta	ข้อเสนอ	None	noun
process of removing salt from sea water in order to make drinking water	تَقْطِير إِعْذَاب	desalination	suolanpoisto	αφαλάτωση	desalinasi	脱塩	脫鹽 脱盐 海水淡化	n o u n	odsalanie	None	None	None	None	None	None	noun
implement used to remove surface dust	None	feather duster	pölyhuiska	None	kemoceng	叩き	雞毛撣子 鸡毛掸子	n o u n	None	espanador	None	None	plumero	None	None	noun
creator of cartoons or strip cartoons	None	cartoonist	pilapiirtäjä sarjakuvapiirtäjä	γελοιογράφος σκιτσογράφος	kartunis	None	漫畫家 漫画家	n o u n	rysownik rysowniczka karykaturzysta karykaturzystka kreskówkarz komiksiarz	desenhista cartunista chargista quadrinista	None	None	dibujante historietista caricaturista	None	None	noun
person who writes and illustrates comic books	None	cartoonist	sarjakuvataiteilija	None	komikus	None	None	n o u n	None	None	None	None	None	None	None	noun
famous	None	renowned	maineikas kuuluisa tunnettu -kuulu	None	masyur terkenal	None	None	a d j	None	de renome renomado	None	None	renombrado de renombre reconocido distinguido	None	None	adj
extremely stupid	غَبِيّ غشيم احمق	dumb	typerä idioottimainen	χαζός	dungu	愚かな ばかな	蠢 笨	a d j	durny tępy pustogłowy bezmyślny idiotyczny debilny	burro idiota	None	None	estúpido tonto	None	None	adj
fluid carried by the lymphatic system	None	lymph	imuneste lymfa	λύμφη λέμφος	limfa	リンパ液	淋巴	n o u n	chłonka	linfa	None	None	None	น้ำเหลือง	None	noun
omnipresence	None	ubiquity	läsnäolo kaikkialla	None	mahahadir	None	無處不在 无处不在 無所不在 无所不在	n o u n	wszechobecność	ubiquidade	None	vseprisotnost	ubicuidad	None	None	noun
Lake District	ليك ديستريكت	Lake District	Järviseutu	None	Danau District	湖水地方	湖区	n a m e	None	None	None	None	Distrito de los Lagos	เลกดิสตริกต์	None	name
plant Brassica oleracea var. italica	بْرُكُولِي بْرُوكُلِي بروكلي	broccoli	parsakaali brokkoli	μπρόκολο	brokoli	ブロッコリ 緑花野菜 芽花野菜	西蘭花 西兰花 西藍花 西蓝花 青花菜 綠菜花 绿菜花 綠花椰菜 绿花椰菜	n o u n	brokuł	brócolis	brokula	None	brécol bróculi brócoli	บรอกโคลี	None	noun
happening through bad luck	لِلْأَسَف لِسُوءِ الْحَظِّ للأسف	unfortunately	valitettavasti ikävä kyllä harmillista kyllä	δυστυχώς	sayangnya	生憎 残念ながら	不幸的 不巧 可惜	a d v	niestety	infelizmente	на̏жало̄ст nȁžalōst	na žalost	desafortunadamente desgraciadamente lamentablemente por desgracia infortunadamente	None	None	adv
instrument that measures humidity	جَهَاز قِيَاس الرُطُوبَة	hygrometer	kosteusmittari	υγρόμετρο	higrometer	湿度計	濕度計 湿度计	n o u n	higrometr wilgotnościomierz	higrômetro	влагомјер влагомер vlagomjer vlagomer	None	higrómetro	None	None	noun
parliament in which no single political party has an outright majority	برلمان معلق	hung parliament	enemmistötön parlamentti hung-parlamentti	None	parlemen gantung	None	懸浮議會 悬浮议会	n o u n	None	parlamento suspenso	blokirani parlament	None	parlamento colgado	สภาแขวน สภาชะงักงัน	None	noun
military officer of the highest rank	عَقِيْد	marshal	marsalkka	None	marsekal	None	元帥 元帅	n o u n	marszałek	marechal	None	maršal	mariscal	None	None	noun
art and science of text interpretation	علم التأويل	hermeneutics	hermeneutiikka	ερμηνευτική	hermeneutik	解釈学	解釋學 解释学 詮釋學 诠释学	n o u n	hermeneutyka	hermenêutica	херменеу̀тика hermeneùtika	hermenevtika	hermenéutica	อรรถปริวรรตศาสตร์	None	noun
lay person who reads aloud certain religious texts	None	lector	None	None	lektor	None	None	n o u n	None	leitor leitora	None	None	None	None	None	noun
special election	اِنْتِخَابَات تَكْمِيلِيَّة	by-election	täydennysvaali	None	pemilihan umum sela	補欠選挙	補選 补选	n o u n	wybory uzupełniające	eleição suplementar	до̀пунскӣ ѝзбори dòpunskī ìzbori	None	elección parcial	None	None	noun
break, pause or vacation	فُسْحة	recess	tauko loma	None	reses	休暇 休業	None	n o u n	None	recesso	None	None	receso	None	None	noun
person who supports, an adherent	None	supporter	kannattaja	None	pendukung	None	None	n o u n	adherent adherentka	apoiador apoiadora apoiante	None	None	None	None	None	noun
goodbye	يَوْمًا سَعِيدًا! إِلَى اللِّقَاء أَرَاكَ لَاحِقًا إِلَى اللِّقَاء قَرِيبًا أشوفك بعدين إِلَى اَللِّقَاء بَاي بَاي أَرَاكَ قَرِيبًا ʾarāki qarīban)	have a nice day see you later bye-bye see you soon	hyvää päivänjatkoa näkemiin heippa näkemisiin hei hei hei sitten nähdään nähdään pian	καλή σου μέρα τα λέμε γεια χαρά γεια	sampaijumpa (ber) sampai nanti dadah sampai jumpa sampai jumpa lagi	いい日を！ よいー日を！ また後で バイバイ では じゃ じゃあまたね ではまた またね 行ってきます いってらっしゃい じゃ、また バイ じゃあ じゃあね	祝你今天過得愉快 再會 再会 拜拜 回見 回见 再見 再见 88 一會兒見 一会儿见 回頭見 回头见	i n t j	miłego dnia do zobaczenia na razie cześć nara pa pa pa	tenha um bom dia até logo até mais ver até mais falou tchau tchau até já	None	None	que tenga un buen día que tengas un buen día buen día hasta luego nos vemos nos veremos nos vemos pronto nos estamos viendo hasta la próxima adiós chau ¡hasta pronto! ¡hasta luego!	สวัสดี แล้วเจอกัน เจอกันใหม่ แล้วพบกันใหม่	None	intj
spoon for eating soup	مِلْعَقَة اَلْحَسَاء	soupspoon	keittolusikka	None	sudu sup	散蓮華 スープスプーン	湯匙 汤匙	n o u n	None	colher de sopa	None	None	cuchara sopera cuchara de sopa	ช้อนซุป	None	noun
n-by-n arrangement of n2 numbers	None	magic square	taikaneliö	None	persegi ajaib	魔方陣	幻方	n o u n	None	quadrado mágico	None	None	cuadrado mágico	จัตุรัสกล	None	noun
not consistent	None	inconsistent	epäjohdonmukainen inkonsistentti epäkonsistentti	ανακόλουθος	inkonsisten	None	不一致的	a d j	niekonsekwentny niespójny sprzeczny	inconsistente	None	None	inconsecuente	None	None	adj
Roman god of doorways, gates and transitions	يَانُوس	Janus	None	Ιανός	Yanus	ヤヌス	杰纳斯	n a m e	None	Jano	None	None	None	เจนัส	None	name
building or section of building to store a car, tools etc.	كَرَاج قَرَاج قراج موقِف ڭراج	garage	autotalli	γκαράζ	garasi	ガレージ	車庫 车库	n o u n	garaż	garagem	гара́жа garáža	garaža	garaje cochera	โรงรถ	None	noun
place where cars are serviced and repaired	مَرْأَب وَرْشَة وَرْشة	garage	autokorjaamo korjaamo	None	bengkel	整備工場	None	n o u n	None	oficina mecânica mecânica oficina	None	None	taller mecánico garaje taller	None	None	noun
