Indonesian	Arabic	Croatian	Thai	Slovene	Finnish	Portuguese	Japanese	Polish	Greek 	Chinese 	English 	Spanish 
sidang mahkamah	None	None	None	None	None	None	None	None	None	None	senate	None
kauusir	None	None	None	None	None	None	None	None	None	None	sending	None
dari nafsu manusia	None	None	None	None	None	None	None	None	None	None	sensual	None
tidak dikuasai oleh Roh	None	None	None	None	None	None	None	None	None	None	sensual	None
memberangkatkan	None	None	None	None	None	None	None	None	None	None	sent his	None
mengirimkannya	None	None	None	None	None	None	None	None	None	None	sent it	None
tuntutannya	None	None	None	None	None	None	None	None	None	None	servant at	None
sembah	None	None	None	None	None	None	None	None	None	None	serve is	None
pekerjaan rumah	None	None	None	None	None	None	None	None	None	None	serving	None
Bekerjalah	None	None	None	None	None	None	None	None	None	None	serving	None
direntangkan	None	None	None	None	None	None	None	None	None	None	set a	None
pisahkan	None	None	None	None	None	None	None	None	None	None	set aside	None
terbilang	None	None	None	None	None	None	None	None	None	None	set glory	None
menegakkannya	None	None	None	None	None	None	None	None	None	None	set it	None
menghidangkannya	None	None	None	None	None	None	None	None	None	None	set it	None
Kudirikan	None	None	None	None	None	None	None	None	None	None	set my	None
kerasnya	None	None	None	None	None	None	None	None	None	None	severity	None
menjahit	None	None	None	None	None	None	None	None	None	None	sew	None
gugurkanlah	None	None	None	None	None	None	None	None	None	None	shake off	None
menggemparkan	None	None	None	None	None	None	None	None	None	None	shook	None
Kuguncangkan	None	None	None	None	None	None	None	None	None	None	shake	None
digoyahkan	None	None	None	None	None	None	None	None	None	None	shake	None
digoyang	None	None	None	None	None	None	None	None	None	None	shaken	None
diguncang	None	None	None	None	None	None	None	None	None	None	shaken	None
pilihannya	None	None	None	None	None	None	None	None	None	None	shall choose	None
ditumbuhi	None	None	None	None	None	None	None	None	None	None	shall come up	None
menghakimimu	None	None	None	None	None	None	None	None	None	None	shall judge	None
tabur	None	None	None	None	None	None	None	None	None	None	shall sow	None
mengunjukkannya	None	None	None	None	None	None	None	None	None	None	wave	None
sabitmu	None	None	None	None	None	None	None	None	None	None	sharp sickle	None
runcing	None	None	None	None	None	None	None	None	None	None	sharp	None
mengasahkan	None	None	None	None	None	None	None	None	None	None	sharpen every man	None
bercukur	None	None	None	None	None	None	None	None	None	None	shaved	None
pengguntingku	None	None	None	None	None	None	None	None	None	None	shearers	None
bulu dombamu	None	None	None	None	None	None	None	None	None	None	shearers	None
sudah diikat	None	None	None	None	None	None	None	None	None	None	sheaves	None
panenannya	None	None	None	None	None	None	None	None	None	None	sheaves	None
membunuh orang yang	None	None	None	None	None	None	None	None	None	None	shed	None
penumpahan	None	None	None	None	None	None	None	None	None	None	shedding of	None
Timbanganmu	None	None	None	None	None	None	None	None	None	None	shekel	None
syikal	None	None	None	None	None	None	None	None	None	None	shekels	None
jadilah terang	None	None	None	None	None	None	None	None	None	None	shine	None
nakhoda kapal	None	None	None	None	None	None	None	None	None	None	shipmaster	None
tidak peduli akan suara	None	None	None	None	None	None	None	None	None	None	shipwreck	None
sandalmu	None	None	None	None	None	None	None	None	None	None	shoes	None
selempang	None	None	None	None	None	None	None	None	None	None	shook	None
singkatnya	None	None	None	None	None	None	None	None	None	None	short	None
tempat saya ini	None	None	None	None	None	None	None	None	None	None	shortly	None
ajalnya	None	None	None	None	None	None	None	None	None	None	should die	None
pundakmu	None	None	None	None	None	None	None	None	None	None	shoulder	None
sorak sorai	None	None	None	None	None	None	None	None	None	None	shouting	None
ditunjukkan	None	None	None	None	None	None	None	None	None	None	shown	None
butakan	None	None	None	None	None	None	None	None	None	None	shut their	None
sabitnya	None	None	None	None	None	None	None	None	None	None	sickle	None
menyabit	None	None	None	None	None	None	None	None	None	None	the sickle	None
Penyakit	None	None	None	None	None	None	None	None	None	None	sickness	None
keluh	None	None	None	None	None	None	None	None	None	None	sighing	huirán
mujizat	None	None	None	None	None	None	None	None	None	None	signs	None
mengakui dosaku	None	None	None	None	None	None	None	None	None	None	silence	None
sutera	None	None	None	None	None	None	None	None	None	None	silk	None
Mari singgah	None	None	None	None	None	None	None	None	None	None	simple	None
dari cela	None	None	None	None	None	None	None	None	None	None	sincere	None
pukulan	None	None	None	None	None	None	None	None	None	None	the sinew	None
jahatnya dosa	None	None	None	None	None	None	None	None	None	None	sinful	None
nyanyikan	None	None	None	None	None	None	None	None	None	None	will sing	None
berdosa berbalik	None	None	None	None	None	None	None	None	None	None	sinner	None
nila	None	None	None	None	None	None	None	None	None	None	sinner	None
berdosa ini	None	None	None	None	None	None	None	None	None	None	sinner	None
berdosa akan	None	None	None	None	None	None	None	None	None	None	sinner	None
berdosa yang	None	None	None	None	None	None	None	None	None	None	sinner	None
perempuan Ayub	None	None	None	None	None	None	None	None	None	None	sisters	None
dua anak perempuan	None	None	None	None	None	None	None	None	None	None	sisters	None
berdiang	None	None	None	None	None	None	None	None	None	None	sit before	None
kulit domba	None	None	None	None	None	None	None	None	None	None	skins	None
kulit binatang	None	None	None	None	None	None	None	None	None	None	skins	None
kulit kambing	None	None	None	None	None	None	None	None	None	None	skins	None
dirobek	None	None	None	None	None	None	None	None	None	None	skirts	None
langitnya	None	None	None	None	None	None	None	None	None	None	the sky is	None
sebangsaku	None	None	None	None	None	None	None	None	None	None	slain of	None
difitnahnya	None	None	None	None	None	None	None	None	None	None	slandered	None
sahaya	None	None	None	None	None	None	None	None	None	None	slave	None
jepretan	None	None	None	None	None	None	None	None	None	None	sling	None
lamban	None	None	None	None	None	None	None	None	None	None	slow	None
berbau	None	None	None	None	None	None	None	None	None	None	smell	None
Bau harum	None	None	None	None	None	None	None	None	None	None	smelled	None
berasap	None	None	None	None	None	None	None	None	None	None	smoking	None
siput	None	None	None	None	None	None	None	None	None	None	snail	None
Daud terjebak	None	None	None	None	None	None	None	None	None	None	snare	None
menghindari	None	None	None	None	None	None	None	None	None	None	snares	None
itu bersin	None	None	None	None	None	None	None	None	None	None	sneezed	None
Salju	None	None	None	None	None	None	None	None	None	None	to the snow	None
bertindaklah	None	None	None	None	None	None	None	None	None	None	so do	actuad
demikianlah	None	None	None	None	None	None	None	None	None	None	so have	None
peminjam	None	None	None	None	None	None	None	None	None	None	so with	None
dengan lembut	None	None	None	None	None	None	None	None	None	None	softly	None
tinggal menetap	None	None	None	None	None	None	None	None	None	None	sojourn	None
penutupan	None	None	None	None	None	None	None	None	None	None	solemn	None
sunyi Yerusalem	None	None	None	None	None	None	None	None	None	None	solitary	None
memeriksa lagi	None	None	None	None	None	None	None	None	None	None	somewhat	None
pujaanku	None	None	None	None	None	None	None	None	None	None	song	None
nyanyianmu	None	None	None	None	None	None	None	None	None	None	songs	None
sihirmu	None	None	None	None	None	None	None	None	None	None	sorceries	None
kaurisaukan	None	None	None	None	None	None	None	None	None	None	sorrow of heart	None
kesengsaraan	None	None	None	None	None	None	None	None	None	None	sorrows	None
kesedihanmu	None	None	None	None	None	None	None	None	None	None	sorry	None
ditanami oleh Tuan	None	None	None	None	None	None	None	None	None	None	sow	None
ditaburkan	None	None	None	None	None	None	None	None	None	None	sown	None
tubuh itu	None	None	None	None	None	None	None	None	None	None	sown	None
jengkal	None	None	None	None	None	None	None	None	None	None	span	None
mengkilap	None	None	None	None	None	None	None	None	None	None	they sparkled	None
seia	None	None	None	None	None	None	None	None	None	None	speak the same	None
penikam	None	None	None	None	None	None	None	None	None	None	spears	None
tidak dapat mengatakan	None	None	None	None	None	None	None	None	None	None	speechless	None
dihabiskan	None	None	None	None	None	None	None	None	None	None	spend their	None
kuhabiskan	None	None	None	None	None	None	None	None	None	None	spent my	None
suka menghabiskan	None	None	None	None	None	None	None	None	None	None	spent	None
harumnya	None	None	None	None	None	None	None	None	None	None	spices	None
pulih	None	None	None	None	None	None	None	None	None	None	spirit came	None
ludahi	None	None	None	None	None	None	None	None	None	None	spit	None
diucapkannya	None	None	None	None	None	None	None	None	None	None	spoken against	None
meminangnya	None	None	None	None	None	None	None	None	None	None	spoken for	None
tertawakan	None	None	None	None	None	None	None	None	None	None	sport yourselves	None
putih itu	None	None	None	None	None	None	None	None	None	None	spot	None
belangnya	None	None	None	None	None	None	None	None	None	None	spots	None
tersohor	None	None	None	None	None	None	None	None	None	None	spread abroad	None
menekankannya	None	None	None	None	None	None	None	None	None	None	spread it	None
semudah	None	None	None	None	None	None	None	None	None	None	sprigs with	None
Siramkan	None	None	None	None	None	None	None	None	None	None	sprinkle their	None
siramkan	None	None	None	None	None	None	None	None	None	None	sprinkle	None
percikilah	None	None	None	None	None	None	None	None	None	None	sprinkle	None
dipercikkannya	None	None	None	None	None	None	None	None	None	None	sprinkled it	None
yang sudah disucikan	None	None	None	None	None	None	None	None	None	None	sprinkled	None
percikan	None	None	None	None	None	None	None	None	None	None	sprinkled	None
menghamburkan abu	None	None	None	None	None	None	None	None	None	None	sprinkled	None
ada mimbar	None	None	None	None	None	None	None	None	None	None	stairs	None
menguning	None	None	None	None	None	None	None	None	None	None	stalk	None
gagap	None	None	None	None	None	None	None	None	None	None	stammerers	None
logat	None	None	None	None	None	None	None	None	None	None	stammering	None
Berhentilah	None	None	None	None	None	None	None	None	None	None	stand thou	None
berdiri itu	None	None	None	None	None	None	None	None	None	None	standest	None
Puncaknya	None	None	None	None	None	None	None	None	None	None	stature was	None
sengat	None	None	None	None	None	None	None	None	None	None	stings	None
beradu	None	None	None	None	None	None	None	None	None	None	stir up	None
pasungan	None	None	None	None	None	None	None	None	None	None	the stocks	None
nyaris	None	None	None	None	None	None	None	None	None	None	stole	None
diculik	None	None	None	None	None	None	None	None	None	None	stolen	None
pencernaanmu	None	None	None	None	None	None	None	None	None	None	stomach	None
melemparinya	None	None	None	None	None	None	None	None	None	None	stone her	None
Kuletakkan	None	None	None	None	None	None	None	None	None	None	the stone that I have	None
kaulempari batu	None	None	None	None	None	None	None	None	None	None	stonest	None
membendung	None	None	None	None	None	None	None	None	None	None	stopped	None
gudang	None	None	None	None	None	None	None	None	None	None	storehouse	None
Badai	None	None	None	None	None	None	None	None	None	None	storm	None
diluruskan	None	None	None	None	None	None	None	None	None	None	straight	None
bagi Dia	None	None	None	None	None	None	None	None	None	None	straight	None
Lalat	None	None	None	None	None	None	None	None	None	None	strain	None
tersebut	None	None	None	None	None	None	None	None	None	None	strange flesh	None
mencabiknya	None	None	None	None	None	None	None	None	None	None	strangled	None
rerumputan	None	None	None	None	None	None	None	None	None	None	straw	None
deras	None	None	None	None	None	None	None	None	None	None	that water	aguaceros
lapang kota	None	None	None	None	None	None	None	None	None	None	street	None
kukuatkan	None	None	None	None	None	None	None	None	None	None	strengthen you	None
Kuobati	None	None	None	None	None	None	None	None	None	None	strengthen	None
kokohkan	None	None	None	None	None	None	None	None	None	None	strengthen	None
raja yang kuat	None	None	None	None	None	None	None	None	None	None	strengthened	None
ia memperkuat	None	None	None	None	None	None	None	None	None	None	strengthened	None
pelihara	None	None	None	None	None	None	None	None	None	None	strengthened	None
mengacungkannya	None	None	None	None	None	None	None	None	None	None	stretch	None
menelungkupkan	None	None	None	None	None	None	None	None	None	None	stretched	None
persoalanmu	None	None	None	None	None	None	None	None	None	None	strife	None
berbantah	None	None	None	None	None	None	None	None	None	None	strife	None
menyokong	None	None	None	None	None	None	None	None	None	None	strike hands	None
dilukai	None	None	None	None	None	None	None	None	None	None	strike him	None
tanpa pakaian	None	None	None	None	None	None	None	None	None	None	stripped	None
dalam perjuanganmu	None	None	None	None	None	None	None	None	None	None	striving	None
itu kuat	None	None	None	None	None	None	None	None	None	None	stronger	None
mereka bergelut	None	None	None	None	None	None	None	None	None	None	struggled	None
rumput kering	None	None	None	None	None	None	None	None	None	None	stubble	None
tertancap	None	None	None	None	None	None	None	None	None	None	stuck	clavada
yang tersandung	None	None	None	None	None	None	None	None	None	None	stumbled	None
menguasainya	None	None	None	None	None	None	None	None	None	None	subdue it	None
Filistin pun	None	None	None	None	None	None	None	None	None	None	subdued	None
menirunya	None	None	None	None	None	None	None	None	None	None	such like	None
mendadak	None	None	None	None	None	None	None	None	None	None	suddenly	repente
alami	None	None	None	None	None	None	None	None	None	None	suffer	None
dialami	None	None	None	None	None	None	None	None	None	None	the sufferings	None
tuntutan	None	None	None	None	None	None	None	None	None	None	suit	None
yang kesal	None	None	None	None	None	None	None	None	None	None	sullen	None
Yoram rebah	None	None	None	None	None	None	None	None	None	None	sunk	None
ia menyangka	None	None	None	None	None	None	None	None	None	None	supposing	None
semakin teguh	None	None	None	None	None	None	None	None	None	None	sure	None
hamba tepat	None	None	None	None	None	None	None	None	None	None	sure	None
Yusuf ini	None	None	None	None	None	None	None	None	None	None	surnamed	None
sesuatu pun yang	None	None	None	None	None	None	None	None	None	None	sustenance	None
pahit lagi	None	None	None	None	None	None	None	None	None	None	swallow	None
ditelannya	None	None	None	None	None	None	None	None	None	None	swallowed	None
terkabul	None	None	None	None	None	None	None	None	None	None	swallowed him up	None
musuh ditelan	None	None	None	None	None	None	None	None	None	None	swallowed	None
sudah tercapai	None	None	None	None	None	None	None	None	None	None	swallowed	None
menyapu	None	None	None	None	None	None	None	None	None	None	sweep	barre
manisnya	None	None	None	None	None	None	None	None	None	None	sweet are	None
yang manis	None	None	None	None	None	None	None	None	None	None	sweetness	None
mengembung	None	None	None	None	None	None	None	None	None	None	to swell	None
mengerutkan	None	None	None	None	None	None	None	None	None	None	swell	None
pukulannya	None	None	None	None	None	None	None	None	None	None	swelling	None
Apis	None	None	None	None	None	None	None	None	None	None	swept	None
gesit	None	None	None	None	None	None	None	None	None	None	swift	None
laju	None	None	None	None	None	None	None	None	None	None	swifter	None
arahku	None	None	None	None	None	None	None	None	None	None	swiftly	None
melamarnya	None	None	None	None	None	None	None	None	None	None	take her	None
menggorok	None	None	None	None	None	None	None	None	None	None	take off	None
Pungutlah	None	None	None	None	None	None	None	None	None	None	the atonement	None
menguranginya	None	None	None	None	None	None	None	None	None	None	taken from	None
tampak amat	None	None	None	None	None	None	None	None	None	None	taking	None
tiga puluh lima kilogram	None	None	None	None	None	None	None	None	None	None	talent	None
membicarakannya	None	None	None	None	None	None	None	None	None	None	talk	None
telah bicara	None	None	None	None	None	None	None	None	None	None	talked	None
permadaninya	None	None	None	None	None	None	None	None	None	None	tapestry	None
Rasakanlah	None	None	None	None	None	None	None	None	None	None	taste	None
ajarkanlah	None	None	None	None	None	None	None	None	None	None	teach it	None
kuajari	None	None	None	None	None	None	None	None	None	None	teach you	None
Mereka harus mengajarkan	None	None	None	None	None	None	None	None	None	None	teachers	None
air matanya	None	None	None	None	None	None	None	None	None	None	tears	None
kesedihan hatimu	None	None	None	None	None	None	None	None	None	None	tears	None
Gigi	None	None	None	None	None	None	None	None	None	None	teeth	None
menceritakannya	None	None	None	None	None	None	None	None	None	None	tell it	None
laporanmu	None	None	None	None	None	None	None	None	None	None	telling	None
tahu menahan	None	None	None	None	None	None	None	None	None	None	temperate	None
kuilmu	None	None	None	None	None	None	None	None	None	None	temples	None
Godaan	None	None	None	None	None	None	None	None	None	None	tempted	None
jutaan	None	None	None	None	None	None	None	None	None	None	thousand times ten	None
sehelai efod	None	None	None	None	None	None	None	None	None	None	teraphim	None
Kesepian	None	None	None	None	None	None	None	None	None	None	termed	None
sangat mempesonakan	None	None	None	None	None	None	None	None	None	None	terrible	None
sang	None	None	None	None	None	None	None	None	None	None	terrify	None
meyakinkan kalian	None	None	None	None	None	None	None	None	None	None	testifying	None
negeri Galilea	None	None	None	None	None	None	None	None	None	None	tetrarch	None
Deritamu	None	None	None	None	None	None	None	None	None	None	than affliction	None
Syukurlah	None	None	None	None	None	None	None	None	None	None	thank God that	None
ucapkan syukur	None	None	None	None	None	None	None	None	None	None	thank	None
syukurmu	None	None	None	None	None	None	None	None	None	None	thank	None
terima kasihmu	None	None	None	None	None	None	None	None	None	None	thanksgiving	None
peninggalan	None	None	None	None	None	None	None	None	None	None	that pertained	None
Terjadi	None	None	None	None	None	None	None	None	None	None	that there was	None
mengirimkan	None	None	None	None	None	None	None	None	None	None	they should bring	None
Mahakudus	None	None	None	None	None	None	None	None	None	None	the Blessed	None
menakar	None	None	None	None	None	None	None	None	None	None	the bath	None
penglima	None	None	None	None	None	None	None	None	None	None	the captain of the	None
Tangisan	None	None	None	None	None	None	None	None	None	None	the cry	None
peristiwa	None	None	None	None	None	None	None	None	None	None	the dedication	la dedicación
Iblislah	None	None	None	None	None	None	None	None	None	None	the devil	None
Keramaian	None	None	None	None	None	None	None	None	None	None	the doors shall be shut	None
dipuja	None	None	None	None	None	None	None	None	None	None	the fear of	None
Persembahannya	None	None	None	None	None	None	None	None	None	None	the gift	None
perabotnya	None	None	None	None	None	None	None	None	None	None	the gold	None
Rambutnya	None	None	None	None	None	None	None	None	None	None	the hair	None
mendamaikan	None	None	None	None	None	None	None	None	None	None	the hearts	None
sepenuhnya	None	None	None	None	None	None	None	None	None	None	the left	None
letaknya	None	None	None	None	None	None	None	None	None	None	the length shall be	None
harimau	None	None	None	None	None	None	None	None	None	None	the leopard	None
pertengahan	None	None	None	None	None	None	None	None	None	None	the midst of my	None
ibadah	None	None	None	None	None	None	None	None	None	None	the ministry	None
pengadu	None	None	None	None	None	None	None	None	None	None	the prey	None
anggaran	None	None	None	None	None	None	None	None	None	None	the service of	None
pelayanan	None	None	None	None	None	None	None	None	None	None	the service	None
bayangannya	None	None	None	None	None	None	None	None	None	None	the shadow	None
ketidaksetiaanmu	None	None	None	None	None	None	None	None	None	None	the shame	None
Dombanya	None	None	None	None	None	None	None	None	None	None	the sheep	None
gembalanya	None	None	None	None	None	None	None	None	None	None	the shepherd	None
penyodok	None	None	None	None	None	None	None	None	None	None	the shovels	None
Kuhajar	None	None	None	None	None	None	None	None	None	None	the slaughter	None
batunya	None	None	None	None	None	None	None	None	None	None	the stones	None
menyeringai	None	None	None	None	None	None	None	None	None	None	the teeth	None
Didengarnya	None	None	None	None	None	None	None	None	None	None	thunder	None
sepit	None	None	None	None	None	None	None	None	None	None	the tongs	None
hasut	None	None	None	None	None	None	None	None	None	None	the tongue	None
terompet	None	None	None	None	None	None	None	None	None	None	the trumpet	None
kekejamanmu	None	None	None	None	None	None	None	None	None	None	the violence	None
pelarikan	None	None	None	None	None	None	None	None	None	None	the wheels	None
lukanya	None	None	None	None	None	None	None	None	None	None	wound	None
pencurian	None	None	None	None	None	None	None	None	None	None	thefts	None
tulikan	None	None	None	None	None	None	None	None	None	None	their ears	None
nafsunya	None	None	None	None	None	None	None	None	None	None	their envy	None
Bibir	None	None	None	None	None	None	None	None	None	None	their mouth	None
perbandingan	None	None	None	None	None	None	None	None	None	None	their number	None
semampu	None	None	None	None	None	None	None	None	None	None	their power	None
antaranya	None	None	None	None	None	None	None	None	None	None	their rods	None
mengajarkannya	None	None	None	None	None	None	None	None	None	None	them known	None
didatangi	None	None	None	None	None	None	None	None	None	None	there met	None
kedaulatan	None	None	None	None	None	None	None	None	None	None	there the yokes of	None
dipilihlah	None	None	None	None	None	None	None	None	None	None	were delivered	None
Sri	None	None	None	None	None	None	None	None	None	None	therefore come	None
diselidiki	None	None	None	None	None	None	None	None	None	None	they inquired and asked	investigado
dicarilah	None	None	None	None	None	None	None	None	None	None	they sought	None
dahaga	None	None	None	None	None	None	None	None	None	None	thirst	sed
amis	None	None	None	None	None	None	None	None	None	None	thirst	None
Duri	None	None	None	None	None	None	None	None	None	None	thorn	None
Pikir	None	None	None	None	None	None	None	None	None	None	thought	None
bekerja melepaskan	None	None	None	None	None	None	None	None	None	None	threshing	None
pintu Rumah	None	None	None	None	None	None	None	None	None	None	threshold	None
tak mengenal Aku	None	None	None	None	None	None	None	None	None	None	threshold	None
membanting	None	None	None	None	None	None	None	None	None	None	threw	None
mengepulkan	None	None	None	None	None	None	None	None	None	None	threw	None
kerongkonganku	None	None	None	None	None	None	None	None	None	None	throat	None
tenggorokanmu	None	None	None	None	None	None	None	None	None	None	throat	None
Tenggorokan	None	None	None	None	None	None	None	None	None	None	throat	None
kerongkongannya	None	None	None	None	None	None	None	None	None	None	throat	None
belas takhta	None	None	None	None	None	None	None	None	None	None	thrones	None
melewatinya	None	None	None	None	None	None	None	None	None	None	through because of the	None
melaluinya	None	None	None	None	None	None	None	None	None	None	through it	None
menonjol	None	None	None	None	None	None	None	None	None	None	through my	None
diseluruh	None	None	None	None	None	None	None	None	None	None	throughout all the	None
dengan Engkau	None	None	None	None	None	None	None	None	None	None	thrown	None
minggir	None	None	None	None	None	None	None	None	None	None	thrust	None
diusirnya	None	None	None	None	None	None	None	None	None	None	thrust	None
mata pedang	None	None	None	None	None	None	None	None	None	None	thrust	None
mendorong	None	None	None	None	None	None	None	None	None	None	thrust	None
Guntur	None	None	None	None	None	None	None	None	None	None	thunder	None
perintahmu	None	None	None	None	None	None	None	None	None	None	thy commandment	órdenes
engkau mengasihi dirimu sendiri	None	None	None	None	None	None	None	None	None	None	thyself	None
Pasanglah	None	None	None	None	None	None	None	None	None	None	tie	None
Kumurnikan	None	None	None	None	None	None	None	None	None	None	tin	None
mulai lagi	None	None	None	None	None	None	None	None	None	None	tithe	None
sepersepuluhanmu	None	None	None	None	None	None	None	None	None	None	tithes	None
kepada Melkisedek	None	None	None	None	None	None	None	None	None	None	tithes	None
mengeranglah	None	None	None	None	None	None	None	None	None	None	to bring forth	None
memperkecil	None	None	None	None	None	None	None	None	None	None	to cut	None
menghindarinya	None	None	None	None	None	None	None	None	None	None	to escape	None
sekehendakmu	None	None	None	None	None	None	None	None	None	None	to him as	None
hakimi	None	None	None	None	None	None	None	None	None	None	to judge	None
menelungkup	None	None	None	None	None	None	None	None	None	None	to lie down	None
dituntun	None	None	None	None	None	None	None	None	None	None	to pass by	None
beribadatlah	None	None	None	None	None	None	None	None	None	None	to serve	None
berseri	None	None	None	None	None	None	None	None	None	None	to shine	None
ima	None	None	None	None	None	None	None	None	None	None	to the priest	None
mengeringkannya	None	None	None	None	None	None	None	None	None	None	wiped them	None
berbentuk	None	None	None	None	None	None	None	None	None	None	to worship her	None
Hari Ini	None	None	None	None	None	None	None	None	None	None	today	Hoy
menyampaikannya	None	None	None	None	None	None	None	None	None	None	told it	None
tambahkan	None	None	None	None	None	None	None	None	None	None	told the	None
lidahmu	None	None	None	None	None	None	None	None	None	None	tongue	None
menjambak	None	None	None	None	None	None	None	None	None	None	took me by a	None
menghidangkan	None	None	None	None	None	None	None	None	None	None	took up the	None
menderita sekali	None	None	None	None	None	None	None	None	None	None	tormented	None
saja yang kena	None	None	None	None	None	None	None	None	None	None	touches	None
kota Gad	None	None	None	None	None	None	None	None	None	None	towns	None
Israel dipindahkan	None	None	None	None	None	None	None	None	None	None	transgressions	None
jebak	None	None	None	None	None	None	None	None	None	None	trap	None
menemani	None	None	None	None	None	None	None	None	None	None	travel with	None
berkhianat	None	None	None	None	None	None	None	None	None	None	treacherously	None
melangkahi	None	None	None	None	None	None	None	None	None	None	tread	None
membuat minyak	None	None	None	None	None	None	None	None	None	None	tread	None
berkulit	None	None	None	None	None	None	None	None	None	None	treads	brillante
pengkhianatan	None	None	None	None	None	None	None	None	None	None	treason	None
mulai gemetar seluruh	None	None	None	None	None	None	None	None	None	None	trembled	None
kurban ganti	None	None	None	None	None	None	None	None	None	None	trespass	None
bersalah kepadamu	None	None	None	None	None	None	None	None	None	None	trespasses	None
mengejutkannya	None	None	None	None	None	None	None	None	None	None	trouble him	None
menggelisahkan hatinya	None	None	None	None	None	None	None	None	None	None	troubled	None
begitu menggelisahkan	None	None	None	None	None	None	None	None	None	None	troubled	None
kesusahan kepada	None	None	None	None	None	None	None	None	None	None	troubled	None
trompetmu	None	None	None	None	None	None	None	None	None	None	trumpets also	None
kupercayai	None	None	None	None	None	None	None	None	None	None	trusted	None
telah percaya	None	None	None	None	None	None	None	None	None	None	trusted	None
suka mendengar	None	None	None	None	None	None	None	None	None	None	try	None
keributan peperangan	None	None	None	None	None	None	None	None	None	None	tumult	None
menentramkan	None	None	None	None	None	None	None	None	None	None	turn away	None
itu membelok	None	None	None	None	None	None	None	None	None	None	turneth	volvía
kejora	None	None	None	None	None	None	None	None	None	None	twilight	None
sulamannya	None	None	None	None	None	None	None	None	None	None	twined	None
banting	None	None	None	None	None	None	None	None	None	None	two hands	None
supaya lebih percaya	None	None	None	None	None	None	None	None	None	None	unbelief	None
lebih percaya lagi	None	None	None	None	None	None	None	None	None	None	unbelief	None
tidak percaya kepada Kristus	None	None	None	None	None	None	None	None	None	None	unbelieving	None
yang tidak percaya kepada	None	None	None	None	None	None	None	None	None	None	unbelieving	None
tidak berpindah kepada	None	None	None	None	None	None	None	None	None	None	unchangeable	None
yang tidak bersunat	None	None	None	None	None	None	None	None	None	None	uncircumcision	None
Abraham disunat	None	None	None	None	None	None	None	None	None	None	uncircumcision	None
tidak disunat	None	None	None	None	None	None	None	None	None	None	uncircumcision	None
Paman Raja	None	None	None	None	None	None	None	None	None	None	uncle	None
pamanku	None	None	None	None	None	None	None	None	None	None	uncle	None
dibanggakannya	None	None	None	None	None	None	None	None	None	None	under the sun	None
penglihatannya	None	None	None	None	None	None	None	None	None	None	understand the	None
tahulah ia	None	None	None	None	None	None	None	None	None	None	understood	None
jahat pada waktu itu	None	None	None	None	None	None	None	None	None	None	ungodly	None
tidak terkenal	None	None	None	None	None	None	None	None	None	None	unknown	None
belum kawin	None	None	None	None	None	None	None	None	None	None	unmarried	None
berperikemanusiaan	None	None	None	None	None	None	None	None	None	None	unmerciful	None
yang bejat	None	None	None	None	None	None	None	None	None	None	unreasonable	None
tidaklah	None	None	None	None	None	None	None	None	None	None	unreasonable	None
tidak adil kalau	None	None	None	None	None	None	None	None	None	None	unrighteous	None
perbuatan yang salah	None	None	None	None	None	None	None	None	None	None	unrighteousness	None
diatur	None	None	None	None	None	None	None	None	None	None	unruly	None
Baik mengenai	None	None	None	None	None	None	None	None	None	None	unsearchable	None
terselami	None	None	None	None	None	None	None	None	None	None	unsearchable	None
yang luar	None	None	None	None	None	None	None	None	None	None	unspeakable	None
loteng yang	None	None	None	None	None	None	None	None	None	None	upper	None
balikkan	None	None	None	None	None	None	None	None	None	None	upside	None
dari apinya	None	None	None	None	None	None	None	None	None	None	upward	None
ata	None	None	None	None	None	None	None	None	None	None	upward	None
dipanaskan	None	None	None	None	None	None	None	None	None	None	urgent	None
pernikahannya	None	None	None	None	None	None	None	None	None	None	used	None
hal menyatakan	None	None	None	None	None	None	None	None	None	None	utterance	None
binasakan	None	None	None	None	None	None	None	None	None	None	utterly destroy after	None
hancurkanlah	None	None	None	None	None	None	None	None	None	None	utterly destroy	None
diandalkan	None	None	None	None	None	None	None	None	None	None	wrongfully	None
keberanianmu	None	None	None	None	None	None	None	None	None	None	valiant	None
lembah sungai	None	None	None	None	None	None	None	None	None	None	valleys	None
lenyapkah	None	None	None	None	None	None	None	None	None	None	vanished	None
daging buruan	None	None	None	None	None	None	None	None	None	None	venison	None
kemenangan sudah	None	None	None	None	None	None	None	None	None	None	victory	None
tercapai	None	None	None	None	None	None	None	None	None	None	victory	None
kebunmu sendiri	None	None	None	None	None	None	None	None	None	None	vine	None
ularnya	None	None	None	None	None	None	None	None	None	None	viper	None
Perawan	None	None	None	None	None	None	None	None	None	None	virgin	None
yang belum kawin	None	None	None	None	None	None	None	None	None	None	virgins	None
suara gemuruh	None	None	None	None	None	None	None	None	None	None	voices	None
kaumuntahkan	None	None	None	None	None	None	None	None	None	None	vomit	None
muntah	None	None	None	None	None	None	None	None	None	None	vomit	None
memuntahkan	None	None	None	None	None	None	None	None	None	None	vomited out	None
janjinya itu	None	None	None	None	None	None	None	None	None	None	vow	None
dijanjikannya kepada	None	None	None	None	None	None	None	None	None	None	vowed	None
kaulku	None	None	None	None	None	None	None	None	None	None	vows	None
janjikan kepada	None	None	None	None	None	None	None	None	None	None	vows	None
